学校,年份,录取批次,招生类型,最低分/位次,省控线,专业组,选科要求
中南林业科技大学,2024,本科批,国家专项计划,533/55026,422,（327）,首选物理，再选地理
中南林业科技大学,2024,本科批,地方专项计划,528/59501,422,（429）,首选物理，再选化学
中南林业科技大学,2024,本科批,地方专项计划,522/65187,422,（428）,首选物理，再选不限
中南林业科技大学,2024,本科批,地方专项计划,521/66167,422,（431）,首选物理，再选生物
中南林业科技大学,2024,本科批,普通类,548/9818,438,（108）,首选历史，再选地理
中南林业科技大学,2024,本科批,普通类,543/10917,438,（107）,首选历史，再选生物
中南林业科技大学,2024,本科批,普通类,530/14433,438,（106）,首选历史，再选不限
中南林业科技大学,2024,本科批,地方专项计划,540/11668,438,（414）,首选历史，再选地理
中南林业科技大学,2024,本科批,地方专项计划,534/13253,438,（413）,首选历史，再选生物
中南林业科技大学,2024,本科批,国家专项计划,532/13830,438,（311）,首选历史，再选地理
中南林业科技大学,2024,本科批,地方专项计划,531/14124,438,（412）,首选历史，再选不限
中南林业科技大学,2024,本科批,国家专项计划,527/15325,438,（310）,首选历史，再选生物
中南林业科技大学,2024,本科批,国家专项计划,527/15325,438,（309）,首选历史，再选不限
中南林业科技大学,2024,本科批,中外合作办学或国际项目,498/25615,438,（205）,首选历史，再选不限
中南林业科技大学,2023,本科批,普通类,546/44368,415,（115）,首选物理，再选不限
中南林业科技大学,2023,本科批,普通类,542/47160,415,（116）,首选物理，再选不限
中南林业科技大学,2023,本科批,普通类,532/54616,415,（124）,首选物理，再选化学/地理(2选1)
中南林业科技大学,2023,本科批,普通类,519/65045,415,（117）,首选物理，再选不限
中南林业科技大学,2023,本科批,普通类,511/71849,415,（122）,首选物理，再选化学/生物(2选1)
中南林业科技大学,2023,本科批,中外合作办学或国际项目,500/81538,415,（219）,首选物理，再选不限
中南林业科技大学,2023,本科批,中外合作办学或国际项目,480/100659,415,（218）,首选物理，再选不限
中南林业科技大学,2023,本科批,中外合作办学或国际项目,470/110696,415,（220）,首选物理，再选不限
中南林业科技大学,2023,本科批,中外合作办学或国际项目,458/123189,415,（223）,首选物理，再选化学/生物(2选1)
中南林业科技大学,2023,本科批,普通类,536/10121,428,（113）,首选历史，再选化学/地理(2选1)
中南林业科技大学,2023,本科批,普通类,533/10790,428,（109）,首选历史，再选不限
中南林业科技大学,2023,本科批,普通类,501/19980,428,（110）,首选历史，再选不限
中南林业科技大学,2023,本科批,中外合作办学或国际项目,465/35895,428,（212）,首选历史，再选不限
中南林业科技大学,2022,本科批,普通类,524/50721,414,（014）,首选物理，再选不限
中南林业科技大学,2022,本科批,普通类,523/51518,414,（020）,首选物理，再选化学/地理(2选1)
中南林业科技大学,2022,本科批,普通类,505/67144,414,（016）,首选物理，再选不限
中南林业科技大学,2022,本科批,普通类,492/79722,414,（015）,首选物理，再选不限
中南林业科技大学,2022,本科批,普通类,478/93999,414,（018）,首选物理，再选化学/生物(2选1)
中南林业科技大学,2022,本科批,地方专项计划,526/49134,414,（037）,首选物理，再选化学/地理(2选1)
中南林业科技大学,2022,本科批,地方专项计划,518/55594,414,（033）,首选物理，再选不限
中南林业科技大学,2022,本科批,国家专项计划,515/58144,414,（029）,首选物理，再选化学/地理(2选1)
中南林业科技大学,2022,本科批,国家专项计划,515/58144,414,（025）,首选物理，再选不限
中南林业科技大学,2022,本科批,地方专项计划,502/69923,414,（035）,首选物理，再选不限
中南林业科技大学,2022,本科批,普通类,545/8900,451,（012）,首选历史，再选化学/地理(2选1)
中南林业科技大学,2022,本科批,普通类,524/15602,451,（009）,首选历史，再选不限
中南林业科技大学,2022,本科批,普通类,507/23045,451,（010）,首选历史，再选不限
中南林业科技大学,2022,本科批,地方专项计划,545/8900,451,（032）,首选历史，再选化学/地理(2选1)
中南林业科技大学,2022,本科批,国家专项计划,534/12066,451,（024）,首选历史，再选化学/地理(2选1)
中南林业科技大学,2022,本科批,地方专项计划,524/15602,451,（030）,首选历史，再选不限
中南林业科技大学,2022,本科批,国家专项计划,517/18482,451,（022）,首选历史，再选不限
中南林业科技大学,2022,本科批,地方专项计划,509/22075,451,（031）,首选历史，再选不限
中南林业科技大学,2022,本科批,国家专项计划,508/22589,451,（023）,首选历史，再选不限
中南林业科技大学,2022,本科批,中外合作办学或国际项目,505/24123,451,（011）,首选历史，再选不限
中南林业科技大学,2021,本科批,普通类,559/33310,434,（124）,首选物理，再选不限
中南林业科技大学,2021,本科批,普通类,553/37425,434,（128）,首选物理，再选化学/地理(2选1)
中南林业科技大学,2021,本科批,普通类,549/40254,434,（123）,首选物理，再选不限
中南林业科技大学,2021,本科批,普通类,538/48600,434,（126）,首选物理，再选化学/生物(2选1)
中南林业科技大学,2021,专科批,普通类,427/143719,200,（139）,首选物理，再选不限
中南林业科技大学,2021,本科批,地方专项,560/32675,434,（434）,首选物理，再选不限
中南林业科技大学,2021,本科批,地方专项,549/40254,434,（436）,首选物理，再选化学/地理(2选1)
中南林业科技大学,2021,本科批,地方专项,542/45495,434,（433）,首选物理，再选不限
中南林业科技大学,2021,本科批,地方专项,529/55884,434,（435）,首选物理，再选化学/生物(2选1)
中南林业科技大学,2021,本科批,中外合作办学,523/61005,434,（225）,首选物理，再选不限
中南林业科技大学,2020,本科一批,普通类,557/37369,507,,
中南林业科技大学,2020,地方专项计划本科批,普通类,548/43086,507,,
中南林业科技大学,2020,国家专项计划本科批,普通类,541/47790,-,,
中南林业科技大学,2020,专科批,普通类,435/131840,200,,
中南林业科技大学,2020,本科一批,普通类,583/7831,550,,
中南林业科技大学,2020,地方专项计划本科批,普通类,578/9176,550,,
中南林业科技大学,2020,国家专项计划本科批,普通类,575/10065,-,,
中南林业科技大学,2020,专科批,普通类,500/46862,200,,
中南林业科技大学,2020,本科一批,普通类,737/-,413,,
中南林业科技大学,2020,本科一批,普通类,686/-,363,,
湖南科技大学,2024,本科批,普通类,545/45166,422,（143）,首选物理，再选地理
湖南科技大学,2024,本科批,普通类,544/45981,422,（140）,首选物理，再选化学
湖南科技大学,2024,本科批,普通类,541/48313,422,（142）,首选物理，再选思想政治
湖南科技大学,2024,本科批,普通类,540/49114,422,（139）,首选物理，再选不限
湖南科技大学,2024,本科批,普通类,537/51554,422,（141）,首选物理，再选化学
湖南科技大学,2024,本科批,国家专项计划,542/47543,422,（347）,首选物理，再选地理
湖南科技大学,2024,本科批,地方专项计划,539/49946,422,（451）,首选物理，再选地理
湖南科技大学,2024,本科批,地方专项计划,538/50752,422,（450）,首选物理，再选思想政治
湖南科技大学,2024,本科批,国家专项计划,536/52413,422,（346）,首选物理，再选思想政治
湖南科技大学,2024,本科批,地方专项计划,532/55898,422,（448）,首选物理，再选不限
湖南科技大学,2024,本科批,普通类,549/9588,438,（130）,首选历史，再选思想政治
湖南科技大学,2024,本科批,普通类,542/11160,438,（131）,首选历史，再选地理
湖南科技大学,2024,本科批,普通类,541/11404,438,（129）,首选历史，再选不限
湖南科技大学,2024,本科批,地方专项计划,552/8932,438,（436）,首选历史，再选思想政治
湖南科技大学,2024,本科批,国家专项计划,549/9588,438,（333）,首选历史，再选思想政治
湖南科技大学,2024,本科批,地方专项计划,544/10689,438,（437）,首选历史，再选地理
湖南科技大学,2024,本科批,地方专项计划,543/10917,438,（435）,首选历史，再选不限
湖南科技大学,2024,本科批,国家专项计划,542/11160,438,（334）,首选历史，再选地理
湖南科技大学,2024,本科批,国家专项计划,539/11918,438,（332）,首选历史，再选不限
湖南科技大学,2023,本科批,普通类,559/35922,415,（116）,首选物理，再选不限
湖南科技大学,2023,本科批,普通类,540/48596,415,（121）,首选物理，再选思想政治
湖南科技大学,2023,本科批,普通类,540/48596,415,（118）,首选物理，再选化学
湖南科技大学,2023,本科批,普通类,540/48596,415,（117）,首选物理，再选不限
湖南科技大学,2023,本科批,普通类,537/50850,415,（120）,首选物理，再选化学/地理(2选1)
湖南科技大学,2023,本科批,普通类,535/52316,415,（119）,首选物理，再选化学/生物(2选1)
湖南科技大学,2023,本科批,普通类,543/8778,428,（114）,首选历史，再选思想政治
湖南科技大学,2023,本科批,普通类,534/10574,428,（113）,首选历史，再选化学/地理(2选1)
湖南科技大学,2023,本科批,普通类,529/11729,428,（112）,首选历史，再选不限
湖南科技大学,2023,本科批,普通类,523/13258,428,（111）,首选历史，再选不限
湖南科技大学,2022,本科批,普通类,546/34455,414,（013）,首选物理，再选不限
湖南科技大学,2022,本科批,普通类,545/35124,414,（012）,首选物理，再选不限
湖南科技大学,2022,本科批,普通类,544/35782,414,（018）,首选物理，再选思想政治
湖南科技大学,2022,本科批,普通类,539/39275,414,（017）,首选物理，再选化学/地理(2选1)
湖南科技大学,2022,本科批,普通类,531/45193,414,（015）,首选物理，再选化学
湖南科技大学,2022,本科批,普通类,527/48318,414,（016）,首选物理，再选化学/生物(2选1)
湖南科技大学,2022,本科批,普通类,524/50721,414,（014）,首选物理，再选不限
湖南科技大学,2022,本科批,地方专项计划,536/41408,414,（034）,首选物理，再选化学/地理(2选1)
湖南科技大学,2022,本科批,国家专项计划,532/44428,414,（027）,首选物理，再选思想政治
湖南科技大学,2022,本科批,地方专项计划,527/48318,414,（035）,首选物理，再选思想政治
湖南科技大学,2022,本科批,普通类,545/8900,451,（010）,首选历史，再选思想政治
湖南科技大学,2022,本科批,普通类,544/9159,451,（009）,首选历史，再选化学/地理(2选1)
湖南科技大学,2022,本科批,普通类,537/11129,451,（007）,首选历史，再选不限
湖南科技大学,2022,本科批,普通类,536/11444,451,（008）,首选历史，再选不限
湖南科技大学,2022,本科批,国家专项计划,543/9441,451,（022）,首选历史，再选思想政治
湖南科技大学,2022,本科批,地方专项计划,542/9732,451,（030）,首选历史，再选思想政治
湖南科技大学,2022,本科批,地方专项计划,541/9995,451,（029）,首选历史，再选化学/地理(2选1)
湖南科技大学,2022,本科批,国家专项计划,532/12733,451,（021）,首选历史，再选化学/地理(2选1)
湖南科技大学,2022,本科批,地方专项计划,529/13741,451,（028）,首选历史，再选不限
湖南科技大学,2022,本科批,国家专项计划,529/13741,451,（020）,首选历史，再选不限
湖南科技大学,2021,本科批,普通类,564/30121,434,（119）,首选物理，再选思想政治
湖南科技大学,2021,本科批,普通类,564/30121,434,（114）,首选物理，再选不限
湖南科技大学,2021,本科批,普通类,562/31365,434,（118）,首选物理，再选化学/地理(2选1)
湖南科技大学,2021,本科批,普通类,555/35981,434,（117）,首选物理，再选化学/生物(2选1)
湖南科技大学,2021,本科批,普通类,554/36691,434,（115）,首选物理，再选不限
湖南科技大学,2021,本科批,普通类,553/37425,434,（116）,首选物理，再选化学
湖南科技大学,2021,本科批,地方专项,554/36691,434,（423）,首选物理，再选不限
湖南科技大学,2021,本科批,地方专项,548/40940,434,（425）,首选物理，再选化学/生物(2选1)
湖南科技大学,2021,本科批,地方专项,547/41745,434,（424）,首选物理，再选化学
湖南科技大学,2021,本科批,普通类,560/8052,466,（109）,首选历史，再选思想政治
湖南科技大学,2021,本科批,普通类,557/8877,466,（107）,首选历史，再选不限
湖南科技大学,2021,本科批,普通类,556/9170,466,（108）,首选历史，再选化学/地理(2选1)
湖南科技大学,2021,本科批,地方专项,560/8052,466,（412）,首选历史，再选化学/地理(2选1)
湖南科技大学,2021,本科批,地方专项,556/9170,466,（411）,首选历史，再选不限
湖南科技大学,2020,本科一批,普通类,561/34986,507,,
湖南科技大学,2020,地方专项计划本科批,普通类,554/39256,507,,
湖南科技大学,2020,国家专项计划本科批,普通类,549/42404,-,,
湖南科技大学,2020,本科一批,普通类,584/7579,550,,
湖南科技大学,2020,国家专项计划本科批,普通类,580/8615,-,,
湖南科技大学,2020,地方专项计划本科批,普通类,579/8875,550,,
湖南科技大学,2020,本科一批,普通类,736/-,413,,
湖南科技大学,2020,本科一批,普通类,696/-,363,,
南华大学,2024,本科批,普通类,585/20649,422,（108）,首选物理，再选化学
南华大学,2024,本科批,普通类,532/55898,422,（106）,首选物理，再选化学
南华大学,2024,本科批,普通类,522/65187,422,（105）,首选物理，再选不限
南华大学,2024,本科批,普通类,520/67142,422,（107）,首选物理，再选化学
南华大学,2024,本科批,普通类,516/71174,422,（109）,首选物理，再选化学
南华大学,2024,本科批,地方专项计划,526/61307,422,（414）,首选物理，再选不限
南华大学,2024,本科批,地方专项计划,525/62274,422,（416）,首选物理，再选化学
南华大学,2024,本科批,地方专项计划,522/65187,422,（417）,首选物理，再选化学
南华大学,2024,本科批,国家专项计划,518/69193,422,（310）,首选物理，再选不限
南华大学,2024,本科批,国家专项计划,517/70156,422,（312）,首选物理，再选化学
南华大学,2024,本科批,普通类,521/17210,438,（102）,首选历史，再选不限
南华大学,2024,本科批,地方专项计划,532/13830,438,（404）,首选历史，再选不限
南华大学,2024,本科批,国家专项计划,528/15028,438,（303）,首选历史，再选不限
南华大学,2023,本科批,普通类,587/20766,415,（109）,首选物理，再选化学/生物(2选1)
南华大学,2023,本科批,普通类,541/47866,415,（105）,首选物理，再选不限
南华大学,2023,本科批,普通类,538/50112,415,（108）,首选物理，再选化学
南华大学,2023,本科批,普通类,532/54616,415,（106）,首选物理，再选不限
南华大学,2023,本科批,普通类,527/58467,415,（110）,首选物理，再选化学/生物(2选1)
南华大学,2023,本科批,普通类,521/63320,415,（107）,首选物理，再选不限
南华大学,2023,本科批,普通类,509/17282,428,（103）,首选历史，再选不限
南华大学,2023,本科批,普通类,499/20681,428,（104）,首选历史，再选不限
南华大学,2022,本科批,普通类,567/21931,414,（006）,首选物理，再选化学/生物(2选1)
南华大学,2022,本科批,普通类,526/49134,414,（005）,首选物理，再选化学
南华大学,2022,本科批,普通类,513/59922,414,（007）,首选物理，再选化学/生物(2选1)
南华大学,2022,本科批,普通类,502/69923,414,（004）,首选物理，再选不限
南华大学,2022,本科批,地方专项计划,533/43621,414,（013）,首选物理，再选化学
南华大学,2022,本科批,地方专项计划,532/44428,414,（014）,首选物理，再选化学/生物(2选1)
南华大学,2022,本科批,国家专项计划,527/48318,414,（010）,首选物理，再选化学/生物(2选1)
南华大学,2022,本科批,地方专项计划,503/69014,414,（012）,首选物理，再选不限
南华大学,2022,本科批,国家专项计划,498/73777,414,（009）,首选物理，再选不限
南华大学,2022,本科批,普通类,513/20199,451,（003）,首选历史，再选不限
南华大学,2022,本科批,地方专项计划,516/18911,451,（011）,首选历史，再选不限
南华大学,2022,本科批,国家专项计划,514/19737,451,（008）,首选历史，再选不限
南华大学,2021,本科批,普通类,577/22555,434,（106）,首选物理，再选化学/生物(2选1)
南华大学,2021,本科批,普通类,553/37425,434,（109）,首选物理，再选化学/生物(2选1)
南华大学,2021,本科批,普通类,553/37425,434,（108）,首选物理，再选化学
南华大学,2021,本科批,普通类,542/45495,434,（107）,首选物理，再选不限
南华大学,2021,本科批,地方专项,552/38123,434,（413）,首选物理，再选化学
南华大学,2021,本科批,地方专项,547/41745,434,（414）,首选物理，再选化学/生物(2选1)
南华大学,2021,本科批,地方专项,535/50980,434,（412）,首选物理，再选不限
南华大学,2021,本科批,普通类,541/14032,466,（103）,首选历史，再选不限
南华大学,2021,本科批,地方专项,543/13286,466,（405）,首选历史，再选不限
南华大学,2020,本科一批,普通类,556/37968,507,,
南华大学,2020,地方专项计划本科批,普通类,539/49220,507,,
南华大学,2020,国家专项计划本科批,普通类,534/52830,-,,
南华大学,2020,国家专项计划本科批,普通类,567/12760,-,,
南华大学,2020,本科一批,普通类,566/13115,550,,
南华大学,2020,地方专项计划本科批,普通类,565/13493,550,,
湖南工商大学,2024,本科批,普通类,544/45981,422,（115）,首选物理，再选不限
湖南工商大学,2024,本科批,普通类,533/55026,422,（114）,首选物理，再选不限
湖南工商大学,2024,本科批,普通类,529/58601,422,（119）,首选物理，再选化学
湖南工商大学,2024,本科批,普通类,524/63246,422,（118）,首选物理，再选化学
湖南工商大学,2024,本科批,普通类,522/65187,422,（113）,首选物理，再选不限
湖南工商大学,2024,本科批,普通类,511/76499,422,（116）,首选物理，再选不限
湖南工商大学,2024,本科批,普通类,510/77495,422,（120）,首选物理，再选化学
湖南工商大学,2024,本科批,地方专项计划,508/79656,422,（424）,首选物理，再选化学
湖南工商大学,2024,本科批,地方专项计划,507/80772,422,（423）,首选物理，再选不限
湖南工商大学,2024,本科批,国家专项计划,506/81855,422,（321）,首选物理，再选不限
湖南工商大学,2024,本科批,普通类,555/8325,438,（106）,首选历史，再选不限
湖南工商大学,2024,本科批,普通类,554/8548,438,（107）,首选历史，再选不限
湖南工商大学,2024,本科批,普通类,538/12167,438,（105）,首选历史，再选不限
湖南工商大学,2024,本科批,普通类,535/12993,438,（108）,首选历史，再选不限
湖南工商大学,2024,本科批,地方专项计划,531/14124,438,（411）,首选历史，再选不限
湖南工商大学,2024,本科批,国家专项计划,530/14433,438,（310）,首选历史，再选不限
湖南工商大学,2024,本科批,中外合作办学或国际项目,477/35274,438,（209）,首选历史，再选不限
湖南工商大学,2023,本科批,普通类,554/39037,415,（113）,首选物理，再选不限
湖南工商大学,2023,本科批,普通类,547/43680,415,（114）,首选物理，再选不限
湖南工商大学,2023,本科批,普通类,542/47160,415,（115）,首选物理，再选不限
湖南工商大学,2023,本科批,普通类,509/73564,415,（116）,首选物理，再选不限
湖南工商大学,2023,本科批,中外合作办学或国际项目,435/147911,415,（217）,首选物理，再选不限
湖南工商大学,2023,本科批,普通类,543/8778,428,（107）,首选历史，再选不限
湖南工商大学,2023,本科批,普通类,533/10790,428,（109）,首选历史，再选不限
湖南工商大学,2023,本科批,普通类,531/11240,428,（108）,首选历史，再选不限
湖南工商大学,2023,本科批,普通类,520/14065,428,（110）,首选历史，再选不限
湖南工商大学,2023,本科批,中外合作办学或国际项目,454/41932,428,（211）,首选历史，再选不限
湖南工商大学,2022,本科批,普通类,545/35124,414,（012）,首选物理，再选不限
湖南工商大学,2022,本科批,普通类,542/37125,414,（013）,首选物理，再选不限
湖南工商大学,2022,本科批,普通类,541/37813,414,（014）,首选物理，再选不限
湖南工商大学,2022,本科批,普通类,490/81696,414,（015）,首选物理，再选不限
湖南工商大学,2022,本科批,地方专项计划,487/84753,414,（020）,首选物理，再选不限
湖南工商大学,2022,本科批,国家专项计划,486/85716,414,（018）,首选物理，再选不限
湖南工商大学,2022,本科批,中外合作办学或国际项目,474/98206,414,（016）,首选物理，再选不限
湖南工商大学,2022,本科批,普通类,546/8648,451,（007）,首选历史，再选不限
湖南工商大学,2022,本科批,普通类,544/9159,451,（008）,首选历史，再选不限
湖南工商大学,2022,本科批,普通类,543/9441,451,（009）,首选历史，再选不限
湖南工商大学,2022,本科批,普通类,535/11784,451,（010）,首选历史，再选不限
湖南工商大学,2022,本科批,国家专项计划,524/15602,451,（017）,首选历史，再选不限
湖南工商大学,2022,本科批,地方专项计划,514/19737,451,（019）,首选历史，再选不限
湖南工商大学,2022,本科批,中外合作办学或国际项目,488/33545,451,（011）,首选历史，再选不限
湖南工商大学,2021,本科批,普通类,551/38818,434,（112）,首选物理，再选不限
湖南工商大学,2021,本科批,普通类,544/43943,434,（113）,首选物理，再选不限
湖南工商大学,2021,本科批,普通类,541/46235,434,（114）,首选物理，再选不限
湖南工商大学,2021,本科批,普通类,536/50193,434,（111）,首选物理，再选不限
湖南工商大学,2021,本科批,地方专项,522/61849,434,（417）,首选物理，再选不限
湖南工商大学,2021,本科批,中外合作办学,492/89620,434,（215）,首选物理，再选不限
湖南工商大学,2021,本科批,普通类,565/6869,466,（107）,首选历史，再选不限
湖南工商大学,2021,本科批,普通类,561/7795,466,（106）,首选历史，再选不限
湖南工商大学,2021,本科批,普通类,555/9441,466,（105）,首选历史，再选不限
湖南工商大学,2021,本科批,地方专项,545/12652,466,（410）,首选历史，再选不限
湖南工商大学,2021,本科批,中外合作办学,514/26255,466,（208）,首选历史，再选不限
湖南工商大学,2020,本科一批,普通类,544/45747,507,,
湖南工商大学,2020,国家专项计划本科批,普通类,533/53592,-,,
湖南工商大学,2020,地方专项计划本科批,普通类,528/57334,507,,
湖南工商大学,2020,专科批,普通类,429/135902,200,,
湖南工商大学,2020,本科二批,中外合作办学,484/93660,464,,
湖南工商大学,2020,本科一批,普通类,579/8875,550,,
湖南工商大学,2020,国家专项计划本科批,普通类,574/10368,-,,
湖南工商大学,2020,地方专项计划本科批,普通类,570/11678,550,,
湖南工商大学,2020,专科批,普通类,492/51254,200,,
湖南工商大学,2020,本科二批,中外合作办学,542/23808,526,,
吉首大学,2024,本科批,普通类,508/79656,422,（124）,首选物理，再选思想政治
吉首大学,2024,本科批,普通类,508/79656,422,（123）,首选物理，再选生物
吉首大学,2024,本科批,普通类,499/89764,422,（117）,首选物理，再选不限
吉首大学,2024,本科批,普通类,498/90933,422,（121）,首选物理，再选化学
吉首大学,2024,本科批,普通类,498/90933,422,（118）,首选物理，再选不限
吉首大学,2024,本科批,普通类,496/93327,422,（125）,首选物理，再选地理
吉首大学,2024,本科批,普通类,492/98063,422,（122）,首选物理，再选化学、生物(2科必选)
吉首大学,2024,本科批,国家专项计划,503/85181,422,（327）,首选物理，再选化学
吉首大学,2024,本科批,地方专项计划,501/87506,422,（428）,首选物理，再选化学
吉首大学,2024,本科批,少数民族预科班（面向城步县）,499/89764,422,（826）,首选物理，再选不限
吉首大学,2024,本科批,普通类,515/19231,438,（112）,首选历史，再选思想政治
吉首大学,2024,本科批,普通类,512/20236,438,（109）,首选历史，再选不限
吉首大学,2024,本科批,普通类,504/23202,438,（110）,首选历史，再选不限
吉首大学,2024,本科批,普通类,503/23589,438,（111）,首选历史，再选生物
吉首大学,2024,本科批,普通类,502/23945,438,（113）,首选历史，再选地理
吉首大学,2024,本科批,国家专项计划,516/18884,438,（314）,首选历史，再选不限
吉首大学,2024,本科批,地方专项计划,512/20236,438,（415）,首选历史，再选不限
吉首大学,2024,本科批,少数民族预科班（面向会同县）,507/22063,438,（818）,首选历史，再选不限
吉首大学,2024,本科批,少数民族预科班（面向全省）,503/23589,438,（801）,首选历史，再选不限
吉首大学,2024,本科批,少数民族预科班（面向绥宁县）,502/23945,438,（803）,首选历史，再选不限
吉首大学,2023,本科批,普通类,537/50850,415,（116）,首选物理，再选化学/生物(2选1)
吉首大学,2023,本科批,普通类,505/77084,415,（117）,首选物理，再选思想政治
吉首大学,2023,本科批,普通类,499/82444,415,（112）,首选物理，再选不限
吉首大学,2023,本科批,普通类,497/84307,415,（114）,首选物理，再选化学
吉首大学,2023,本科批,普通类,490/90829,415,（115）,首选物理，再选化学/生物(2选1)
吉首大学,2023,本科批,普通类,490/90829,415,（113）,首选物理，再选不限
吉首大学,2023,专科批,普通类,426/157672,200,（127）,首选物理，再选不限
吉首大学,2023,本科批,普通类,504/18901,428,（110）,首选历史，再选思想政治
吉首大学,2023,本科批,普通类,492/23346,428,（107）,首选历史，再选不限
吉首大学,2023,本科批,普通类,486/25768,428,（108）,首选历史，再选不限
吉首大学,2023,本科批,普通类,481/27997,428,（109）,首选历史，再选化学
吉首大学,2023,专科批,普通类,427/58010,200,（125）,首选历史，再选不限
吉首大学,2022,本科批,普通类,499/72815,414,（016）,首选物理，再选思想政治
吉首大学,2022,本科批,普通类,485/86686,414,（015）,首选物理，再选化学/生物(2选1)
吉首大学,2022,本科批,普通类,485/86686,414,（014）,首选物理，再选化学
吉首大学,2022,本科批,普通类,483/88778,414,（013）,首选物理，再选不限
吉首大学,2022,本科批,普通类,483/88778,414,（012）,首选物理，再选不限
吉首大学,2022,专科批,普通类,423/153382,200,（027）,首选物理，再选不限
吉首大学,2022,本科批,地方专项计划,499/72815,414,（023）,首选物理，再选化学
吉首大学,2022,本科批,地方专项计划,492/79722,414,（022）,首选物理，再选不限
吉首大学,2022,本科批,国家专项计划,492/79722,414,（020）,首选物理，再选不限
吉首大学,2022,本科批,地方专项计划,490/81696,414,（024）,首选物理，再选化学/生物(2选1)
吉首大学,2022,本科批,普通类,513/20199,451,（010）,首选历史，再选思想政治
吉首大学,2022,本科批,普通类,503/25163,451,（007）,首选历史，再选不限
吉首大学,2022,本科批,普通类,501/26265,451,（009）,首选历史，再选化学
吉首大学,2022,本科批,普通类,499/27330,451,（008）,首选历史，再选不限
吉首大学,2022,专科批,普通类,451/58717,200,（025）,首选历史，再选不限
吉首大学,2022,本科批,国家专项计划,509/22075,451,（019）,首选历史，再选不限
吉首大学,2022,本科批,地方专项计划,507/23045,451,（021）,首选历史，再选不限
吉首大学,2021,本科批,普通类,526/58424,434,（117）,首选物理，再选思想政治
吉首大学,2021,本科批,普通类,519/64513,434,（113）,首选物理，再选不限
吉首大学,2021,本科批,普通类,518/65469,434,（116）,首选物理，再选化学/生物(2选1)
吉首大学,2021,本科批,普通类,516/67243,434,（115）,首选物理，再选化学
吉首大学,2021,本科批,普通类,515/68155,434,（114）,首选物理，再选不限
吉首大学,2021,专科批,普通类,428/143018,200,（126）,首选物理，再选不限
吉首大学,2021,本科批,地方专项,528/56731,434,（419）,首选物理，再选化学
吉首大学,2021,本科批,地方专项,527/57571,434,（420）,首选物理，再选化学/生物(2选1)
吉首大学,2021,本科批,地方专项,527/57571,434,（418）,首选物理，再选不限
吉首大学,2021,本科批,少数民族预科班,515/68155,434,（869）,首选物理，再选不限
吉首大学,2021,本科批,普通类,534/16793,466,（110）,首选历史，再选思想政治
吉首大学,2021,本科批,普通类,532/17606,466,（109）,首选历史，再选化学
吉首大学,2021,本科批,普通类,528/19417,466,（108）,首选历史，再选不限
吉首大学,2021,本科批,普通类,528/19417,466,（107）,首选历史，再选不限
吉首大学,2021,专科批,普通类,456/59013,200,（122）,首选历史，再选不限
吉首大学,2021,本科批,地方专项,536/15967,466,（411）,首选历史，再选不限
吉首大学,2021,本科批,少数民族预科班,525/20873,466,（843）,首选历史，再选不限
吉首大学,2021,本科批,少数民族预科班,525/20873,466,（833）,首选历史，再选不限
吉首大学,2021,本科批,少数民族预科班,522/22292,466,（830）,首选历史，再选不限
吉首大学,2021,本科批,少数民族预科班,520/23231,466,（837）,首选历史，再选不限
吉首大学,2020,本科一批,普通类,528/57334,507,,
吉首大学,2020,地方专项计划本科批,普通类,526/58890,507,,
吉首大学,2020,本科二批,普通类,501/79284,464,,
吉首大学,2020,专科批,普通类,430/135265,200,,
吉首大学,2020,地方专项计划本科批,普通类,563/14268,550,,
吉首大学,2020,本科一批,普通类,558/16250,550,,
吉首大学,2020,本科二批,普通类,546/21811,526,,
吉首大学,2020,专科批,普通类,495/49544,200,,
吉首大学,2020,本科一批,普通类,708/-,413,,
吉首大学,2020,专科批,普通类,661/-,200,,
吉首大学,2020,本科一批,普通类,666/-,363,,
吉首大学,2020,专科批,普通类,617/-,200,,
湖南工业大学,2024,本科批,普通类,541/48313,422,（132）,首选物理，再选化学
湖南工业大学,2024,本科批,普通类,521/66167,422,（129）,首选物理，再选化学
湖南工业大学,2024,本科批,普通类,518/69193,422,（127）,首选物理，再选不限
湖南工业大学,2024,本科批,普通类,515/72232,422,（128）,首选物理，再选不限
湖南工业大学,2024,本科批,普通类,515/72232,422,（126）,首选物理，再选不限
湖南工业大学,2024,本科批,普通类,511/76499,422,（131）,首选物理，再选化学
湖南工业大学,2024,本科批,国家专项计划,539/49946,422,（338）,首选物理，再选化学
湖南工业大学,2024,本科批,地方专项计划,538/50752,422,（445）,首选物理，再选化学
湖南工业大学,2024,本科批,国家专项计划,513/74346,422,（334）,首选物理，再选不限
湖南工业大学,2024,本科批,地方专项计划,511/76499,422,（442）,首选物理，再选不限
湖南工业大学,2024,本科批,普通类,527/15325,438,（116）,首选历史，再选不限
湖南工业大学,2024,本科批,普通类,525/15906,438,（115）,首选历史，再选不限
湖南工业大学,2024,本科批,国家专项计划,527/15325,438,（318）,首选历史，再选不限
湖南工业大学,2024,本科批,地方专项计划,524/16246,438,（422）,首选历史，再选不限
湖南工业大学,2024,本科批,地方专项计划,523/16598,438,（421）,首选历史，再选不限
